relationship_element_id,start_node_element_id,end_node_element_id,source
HAS_DATASET|Custodian|custodian:act-health|Dataset|dataset:act-maternal-and-perinatal-data-collection|md,Custodian|custodian:act-health,Dataset|dataset:act-maternal-and-perinatal-data-collection,md
HAS_DATASET|Custodian|custodian:act-health|Dataset|dataset:act-admitted-patient-care-collection|md,Custodian|custodian:act-health,Dataset|dataset:act-admitted-patient-care-collection,md
HAS_DATASET|Custodian|custodian:act-health|Dataset|dataset:act-emergency-department-data|md,Custodian|custodian:act-health,Dataset|dataset:act-emergency-department-data,md
HAS_DATASET|Custodian|custodian:act-health|Dataset|dataset:act-general-health-survey|csv,Custodian|custodian:act-health,Dataset|dataset:act-general-health-survey,csv
HAS_DATASET|Custodian|custodian:act-health|Dataset|dataset:year-7-health-survey|csv,Custodian|custodian:act-health,Dataset|dataset:year-7-health-survey,csv
HAS_DATASET|Custodian|custodian:act-health|Dataset|dataset:act-physical-activity-and-nutrition-survey|csv,Custodian|custodian:act-health,Dataset|dataset:act-physical-activity-and-nutrition-survey,csv
HAS_DATASET|Custodian|custodian:act-health|Dataset|dataset:australian-secondary-students-alcohol-and-drug-survey|csv,Custodian|custodian:act-health,Dataset|dataset:australian-secondary-students-alcohol-and-drug-survey,csv
HAS_DATASET|Custodian|custodian:act-health|Dataset|dataset:act-cancer-registry|csv,Custodian|custodian:act-health,Dataset|dataset:act-cancer-registry,csv
HAS_DATASET|Custodian|custodian:act-health|Dataset|dataset:act-prostate-cancer-outcomes-registry|csv,Custodian|custodian:act-health,Dataset|dataset:act-prostate-cancer-outcomes-registry,csv
HAS_DATASET|Custodian|custodian:act-health|Dataset|dataset:act-maternal-and-perinatal-data-collection|csv,Custodian|custodian:act-health,Dataset|dataset:act-maternal-and-perinatal-data-collection,csv
HAS_DATASET|Custodian|custodian:act-health|Dataset|dataset:act-admitted-patient-care-collection|csv,Custodian|custodian:act-health,Dataset|dataset:act-admitted-patient-care-collection,csv
HAS_DATASET|Custodian|custodian:act-health|Dataset|dataset:act-emergency-department-data|csv,Custodian|custodian:act-health,Dataset|dataset:act-emergency-department-data,csv
HAS_DATASET|Custodian|custodian:nt-health-nt-health-research-governance-office|Dataset|dataset:emergency-department-data|md,Custodian|custodian:nt-health-nt-health-research-governance-office,Dataset|dataset:emergency-department-data,md
HAS_DATASET|Custodian|custodian:nt-health-nt-health-research-governance-office|Dataset|dataset:outpatient-care-data|md,Custodian|custodian:nt-health-nt-health-research-governance-office,Dataset|dataset:outpatient-care-data,md
HAS_DATASET|Custodian|custodian:nt-health-nt-health-research-governance-office|Dataset|dataset:urban-primary-health-care-data|md,Custodian|custodian:nt-health-nt-health-research-governance-office,Dataset|dataset:urban-primary-health-care-data,md
HAS_DATASET|Custodian|custodian:nt-health-nt-health-research-governance-office|Dataset|dataset:remote-primary-health-care-data|md,Custodian|custodian:nt-health-nt-health-research-governance-office,Dataset|dataset:remote-primary-health-care-data,md
HAS_DATASET|Custodian|custodian:nt-health-nt-health-research-governance-office|Dataset|dataset:inpatient-care-data|md,Custodian|custodian:nt-health-nt-health-research-governance-office,Dataset|dataset:inpatient-care-data,md
HAS_DATASET|Custodian|custodian:nt-health-nt-health-research-governance-office|Dataset|dataset:northern-territory-cancer-registry|md,Custodian|custodian:nt-health-nt-health-research-governance-office,Dataset|dataset:northern-territory-cancer-registry,md
HAS_DATASET|Custodian|custodian:nt-health-nt-health-research-governance-office|Dataset|dataset:perinatal-registry|md,Custodian|custodian:nt-health-nt-health-research-governance-office,Dataset|dataset:perinatal-registry,md
HAS_DATASET|Custodian|custodian:nt-health-nt-health-research-governance-office|Dataset|dataset:termination-of-pregnancy-abortion-data|md,Custodian|custodian:nt-health-nt-health-research-governance-office,Dataset|dataset:termination-of-pregnancy-abortion-data,md
HAS_DATASET|Custodian|custodian:nt-health-nt-health-research-governance-office|Dataset|dataset:cervical-screening-data|md,Custodian|custodian:nt-health-nt-health-research-governance-office,Dataset|dataset:cervical-screening-data,md
HAS_DATASET|Custodian|custodian:nt-health-nt-health-research-governance-office|Dataset|dataset:nt-notifiable-diseases-register|md,Custodian|custodian:nt-health-nt-health-research-governance-office,Dataset|dataset:nt-notifiable-diseases-register,md
HAS_DATASET|Custodian|custodian:nt-health-nt-health-research-governance-office|Dataset|dataset:nt-aboriginal-health-key-performance-indicators|md,Custodian|custodian:nt-health-nt-health-research-governance-office,Dataset|dataset:nt-aboriginal-health-key-performance-indicators,md
HAS_DATASET|Custodian|custodian:nt-health-nt-health-research-governance-office|Dataset|dataset:emergency-department-data|csv,Custodian|custodian:nt-health-nt-health-research-governance-office,Dataset|dataset:emergency-department-data,csv
HAS_DATASET|Custodian|custodian:nt-health-nt-health-research-governance-office|Dataset|dataset:outpatient-care-data|csv,Custodian|custodian:nt-health-nt-health-research-governance-office,Dataset|dataset:outpatient-care-data,csv
HAS_DATASET|Custodian|custodian:nt-health-nt-health-research-governance-office|Dataset|dataset:urban-primary-health-care-data|csv,Custodian|custodian:nt-health-nt-health-research-governance-office,Dataset|dataset:urban-primary-health-care-data,csv
HAS_DATASET|Custodian|custodian:nt-health-nt-health-research-governance-office|Dataset|dataset:remote-primary-health-care-data|csv,Custodian|custodian:nt-health-nt-health-research-governance-office,Dataset|dataset:remote-primary-health-care-data,csv
HAS_DATASET|Custodian|custodian:nt-health-nt-health-research-governance-office|Dataset|dataset:inpatient-care-data|csv,Custodian|custodian:nt-health-nt-health-research-governance-office,Dataset|dataset:inpatient-care-data,csv
HAS_DATASET|Custodian|custodian:nt-health-nt-health-research-governance-office|Dataset|dataset:northern-territory-cancer-registry|csv,Custodian|custodian:nt-health-nt-health-research-governance-office,Dataset|dataset:northern-territory-cancer-registry,csv
HAS_DATASET|Custodian|custodian:nt-health-nt-health-research-governance-office|Dataset|dataset:perinatal-registry|csv,Custodian|custodian:nt-health-nt-health-research-governance-office,Dataset|dataset:perinatal-registry,csv
HAS_DATASET|Custodian|custodian:nt-health-nt-health-research-governance-office|Dataset|dataset:termination-of-pregnancy|csv,Custodian|custodian:nt-health-nt-health-research-governance-office,Dataset|dataset:termination-of-pregnancy,csv
HAS_DATASET|Custodian|custodian:nt-health-nt-health-research-governance-office|Dataset|dataset:cervical-screening-data|csv,Custodian|custodian:nt-health-nt-health-research-governance-office,Dataset|dataset:cervical-screening-data,csv
HAS_DATASET|Custodian|custodian:nt-health-nt-health-research-governance-office|Dataset|dataset:nt-notifiable-diseases-register|csv,Custodian|custodian:nt-health-nt-health-research-governance-office,Dataset|dataset:nt-notifiable-diseases-register,csv
HAS_DATASET|Custodian|custodian:nt-health-nt-health-research-governance-office|Dataset|dataset:nt-aboriginal-health-key-performance-indicators|csv,Custodian|custodian:nt-health-nt-health-research-governance-office,Dataset|dataset:nt-aboriginal-health-key-performance-indicators,csv
HAS_DATASET|Custodian|custodian:phrn|Dataset|dataset:birth-records|md,Custodian|custodian:phrn,Dataset|dataset:birth-records,md
HAS_DATASET|Custodian|custodian:phrn|Dataset|dataset:hospital-admission-data|md,Custodian|custodian:phrn,Dataset|dataset:hospital-admission-data,md
HAS_DATASET|Custodian|custodian:phrn|Dataset|dataset:prescription-data|md,Custodian|custodian:phrn,Dataset|dataset:prescription-data,md
HAS_DATASET|Custodian|custodian:phrn|Dataset|dataset:medical-benefits-data|md,Custodian|custodian:phrn,Dataset|dataset:medical-benefits-data,md
HAS_DATASET|Custodian|custodian:phrn|Dataset|dataset:aged-care-data|md,Custodian|custodian:phrn,Dataset|dataset:aged-care-data,md
HAS_DATASET|Custodian|custodian:phrn|Dataset|dataset:disability-data|md,Custodian|custodian:phrn,Dataset|dataset:disability-data,md
HAS_DATASET|Custodian|custodian:phrn|Dataset|dataset:child-development-data|md,Custodian|custodian:phrn,Dataset|dataset:child-development-data,md
HAS_DATASET|Custodian|custodian:phrn|Dataset|dataset:child-protection-data|md,Custodian|custodian:phrn,Dataset|dataset:child-protection-data,md
HAS_DATASET|Custodian|custodian:phrn|Dataset|dataset:justice-data|md,Custodian|custodian:phrn,Dataset|dataset:justice-data,md
HAS_DATASET|Custodian|custodian:phrn|Dataset|dataset:birth-records|csv,Custodian|custodian:phrn,Dataset|dataset:birth-records,csv
HAS_DATASET|Custodian|custodian:phrn|Dataset|dataset:hospital-admission-data|csv,Custodian|custodian:phrn,Dataset|dataset:hospital-admission-data,csv
HAS_DATASET|Custodian|custodian:phrn|Dataset|dataset:prescription-data|csv,Custodian|custodian:phrn,Dataset|dataset:prescription-data,csv
HAS_DATASET|Custodian|custodian:phrn|Dataset|dataset:medical-benefits-data|csv,Custodian|custodian:phrn,Dataset|dataset:medical-benefits-data,csv
HAS_DATASET|Custodian|custodian:phrn|Dataset|dataset:aged-care-data|csv,Custodian|custodian:phrn,Dataset|dataset:aged-care-data,csv
HAS_DATASET|Custodian|custodian:phrn|Dataset|dataset:disability-data|csv,Custodian|custodian:phrn,Dataset|dataset:disability-data,csv
HAS_DATASET|Custodian|custodian:phrn|Dataset|dataset:child-development-data|csv,Custodian|custodian:phrn,Dataset|dataset:child-development-data,csv
HAS_DATASET|Custodian|custodian:phrn|Dataset|dataset:child-protection-data|csv,Custodian|custodian:phrn,Dataset|dataset:child-protection-data,csv
HAS_DATASET|Custodian|custodian:phrn|Dataset|dataset:justice-data|csv,Custodian|custodian:phrn,Dataset|dataset:justice-data,csv
HAS_DATASET|Custodian|custodian:sure-secure-unified-research-environment|Dataset|dataset:linked-health-data|md,Custodian|custodian:sure-secure-unified-research-environment,Dataset|dataset:linked-health-data,md
HAS_DATASET|Custodian|custodian:sure-secure-unified-research-environment|Dataset|dataset:dss-data|md,Custodian|custodian:sure-secure-unified-research-environment,Dataset|dataset:dss-data,md
HAS_DATASET|Custodian|custodian:sure-secure-unified-research-environment|Dataset|dataset:candle-data|md,Custodian|custodian:sure-secure-unified-research-environment,Dataset|dataset:candle-data,md
HAS_DATASET|Custodian|custodian:sure-secure-unified-research-environment|Dataset|dataset:45-and-up-study|md,Custodian|custodian:sure-secure-unified-research-environment,Dataset|dataset:45-and-up-study,md
HAS_DATASET|Custodian|custodian:sure-secure-unified-research-environment|Dataset|dataset:linked-health-data|csv,Custodian|custodian:sure-secure-unified-research-environment,Dataset|dataset:linked-health-data,csv
HAS_DATASET|Custodian|custodian:sure-secure-unified-research-environment|Dataset|dataset:dss-data|csv,Custodian|custodian:sure-secure-unified-research-environment,Dataset|dataset:dss-data,csv
HAS_DATASET|Custodian|custodian:sure-secure-unified-research-environment|Dataset|dataset:candle-data|csv,Custodian|custodian:sure-secure-unified-research-environment,Dataset|dataset:candle-data,csv
HAS_DATASET|Custodian|custodian:sure-secure-unified-research-environment|Dataset|dataset:45-and-up-study|csv,Custodian|custodian:sure-secure-unified-research-environment,Dataset|dataset:45-and-up-study,csv
HAS_DATASET|Custodian|custodian:abs-datalab|Dataset|dataset:census|csv,Custodian|custodian:abs-datalab,Dataset|dataset:census,csv
HAS_DATASET|Custodian|custodian:abs-datalab|Dataset|dataset:health|csv,Custodian|custodian:abs-datalab,Dataset|dataset:health,csv
HAS_DATASET|Custodian|custodian:abs-datalab|Dataset|dataset:education|csv,Custodian|custodian:abs-datalab,Dataset|dataset:education,csv
HAS_DATASET|Custodian|custodian:abs-datalab|Dataset|dataset:labour-force|csv,Custodian|custodian:abs-datalab,Dataset|dataset:labour-force,csv
HAS_DATASET|Custodian|custodian:abs-datalab|Dataset|dataset:aboriginal-and-torres-strait-islander-peoples|csv,Custodian|custodian:abs-datalab,Dataset|dataset:aboriginal-and-torres-strait-islander-peoples,csv
HAS_DATASET|Custodian|custodian:abs-datalab|Dataset|dataset:migrants|csv,Custodian|custodian:abs-datalab,Dataset|dataset:migrants,csv
HAS_DATASET|Custodian|custodian:abs-datalab|Dataset|dataset:crime|csv,Custodian|custodian:abs-datalab,Dataset|dataset:crime,csv
HAS_DATASET|Custodian|custodian:abs-datalab|Dataset|dataset:business|csv,Custodian|custodian:abs-datalab,Dataset|dataset:business,csv
HAS_DATASET|Custodian|custodian:abs-datalab|Dataset|dataset:disabilities-ageing-and-carers|csv,Custodian|custodian:abs-datalab,Dataset|dataset:disabilities-ageing-and-carers,csv
HAS_DATASET|Custodian|custodian:abs-datalab|Dataset|dataset:abs-survey-results|csv,Custodian|custodian:abs-datalab,Dataset|dataset:abs-survey-results,csv
HAS_DATASET|Custodian|custodian:abs-datalab|Dataset|dataset:administrative-data|csv,Custodian|custodian:abs-datalab,Dataset|dataset:administrative-data,csv
HAS_DATASET|Custodian|custodian:abs-datalab|Dataset|dataset:integrated-datasets|csv,Custodian|custodian:abs-datalab,Dataset|dataset:integrated-datasets,csv
HAS_DATASET|Custodian|custodian:aihw-data-integration-services|Dataset|dataset:national-bowel-cancer-screening-program|csv,Custodian|custodian:aihw-data-integration-services,Dataset|dataset:national-bowel-cancer-screening-program,csv
HAS_DATASET|Custodian|custodian:aihw-data-integration-services|Dataset|dataset:data-over-multiple-individual-occurrences|csv,Custodian|custodian:aihw-data-integration-services,Dataset|dataset:data-over-multiple-individual-occurrences,csv
HAS_DATASET|Custodian|custodian:aihw-data-integration-services|Dataset|dataset:medicare-benefits-schedule|csv,Custodian|custodian:aihw-data-integration-services,Dataset|dataset:medicare-benefits-schedule,csv
HAS_DATASET|Custodian|custodian:aihw-data-integration-services|Dataset|dataset:pharmaceutical-benefits-scheme|csv,Custodian|custodian:aihw-data-integration-services,Dataset|dataset:pharmaceutical-benefits-scheme,csv
HAS_DATASET|Custodian|custodian:aihw-data-integration-services|Dataset|dataset:aihw-data-collections|csv,Custodian|custodian:aihw-data-integration-services,Dataset|dataset:aihw-data-collections,csv
HAS_DATASET|Custodian|custodian:adha|Dataset|dataset:my-health-record-data|csv,Custodian|custodian:adha,Dataset|dataset:my-health-record-data,csv
HAS_DATASET|Custodian|custodian:phn-cooperative-primary-health-insights|Dataset|dataset:aggregated-general-practice-and-primary-care-data|md,Custodian|custodian:phn-cooperative-primary-health-insights,Dataset|dataset:aggregated-general-practice-and-primary-care-data,md
HAS_DATASET|Custodian|custodian:phn-cooperative-primary-health-insights|Dataset|dataset:aggregated-general-practice-and-primary-care-data|csv,Custodian|custodian:phn-cooperative-primary-health-insights,Dataset|dataset:aggregated-general-practice-and-primary-care-data,csv
HAS_DATASET|Custodian|custodian:medicineinsight-nps-medicinewise|Dataset|dataset:medicineinsight-data|csv,Custodian|custodian:medicineinsight-nps-medicinewise,Dataset|dataset:medicineinsight-data,csv
HAS_DATASET|Custodian|custodian:nhmrc-hrecs|Dataset|dataset:not-applicable|csv,Custodian|custodian:nhmrc-hrecs,Dataset|dataset:not-applicable,csv
HAS_DATASET|Custodian|custodian:aiatsis|Dataset|dataset:aiatsis-collection|csv,Custodian|custodian:aiatsis,Dataset|dataset:aiatsis-collection,csv
HAS_DATASET|Custodian|custodian:naccho-aboriginal-community-controlled-health-organisations-acchos|Dataset|dataset:primary-health-care-data-collected-by-acchos|md,Custodian|custodian:naccho-aboriginal-community-controlled-health-organisations-acchos,Dataset|dataset:primary-health-care-data-collected-by-acchos,md
HAS_DATASET|Custodian|custodian:naccho-aboriginal-community-controlled-health-organisations-acchos|Dataset|dataset:aggregate-health-data-for-reporting-and-planning|md,Custodian|custodian:naccho-aboriginal-community-controlled-health-organisations-acchos,Dataset|dataset:aggregate-health-data-for-reporting-and-planning,md
HAS_DATASET|Custodian|custodian:naccho-aboriginal-community-controlled-health-organisations-acchos|Dataset|dataset:primary-health-care-data-collected-by-acchos-patient-demographics-clinical-encounters-health-outcomes-service-utilisation-identifiable|csv,Custodian|custodian:naccho-aboriginal-community-controlled-health-organisations-acchos,Dataset|dataset:primary-health-care-data-collected-by-acchos-patient-demographics-clinical-encounters-health-outcomes-service-utilisation-identifiable,csv
HAS_DATASET|Custodian|custodian:naccho-aboriginal-community-controlled-health-organisations-acchos|Dataset|dataset:linkable-aggregate-health-data-for-reporting-and-planning-de-identified|csv,Custodian|custodian:naccho-aboriginal-community-controlled-health-organisations-acchos,Dataset|dataset:linkable-aggregate-health-data-for-reporting-and-planning-de-identified,csv
HAS_DATASET|Custodian|custodian:naccho-aboriginal-community-controlled-health-organisations-acchos|Dataset|dataset:linkable-verify-with-custodian|csv,Custodian|custodian:naccho-aboriginal-community-controlled-health-organisations-acchos,Dataset|dataset:linkable-verify-with-custodian,csv
HAS_DATASET|Custodian|custodian:acsqhc|Dataset|dataset:clinical-quality-registry-data|md,Custodian|custodian:acsqhc,Dataset|dataset:clinical-quality-registry-data,md
HAS_DATASET|Custodian|custodian:acsqhc|Dataset|dataset:safety-and-quality-indicator-data|md,Custodian|custodian:acsqhc,Dataset|dataset:safety-and-quality-indicator-data,md
HAS_DATASET|Custodian|custodian:acsqhc|Dataset|dataset:clinical-quality-registry-data|csv,Custodian|custodian:acsqhc,Dataset|dataset:clinical-quality-registry-data,csv
HAS_DATASET|Custodian|custodian:acsqhc|Dataset|dataset:safety-and-quality-indicator-data|csv,Custodian|custodian:acsqhc,Dataset|dataset:safety-and-quality-indicator-data,csv
HAS_DATASET|Custodian|custodian:ardc|Dataset|dataset:clinical-trials-data|csv,Custodian|custodian:ardc,Dataset|dataset:clinical-trials-data,csv
HAS_DATASET|Custodian|custodian:private-hospital-data-bureau-phdb-via-aihw-department-of-health|Dataset|dataset:private-hospital-data-bureau-phdb-data|md,Custodian|custodian:private-hospital-data-bureau-phdb-via-aihw-department-of-health,Dataset|dataset:private-hospital-data-bureau-phdb-data,md
HAS_DATASET|Custodian|custodian:private-hospital-data-bureau-phdb-via-aihw-department-of-health|Dataset|dataset:private-hospital-data-bureau|csv,Custodian|custodian:private-hospital-data-bureau-phdb-via-aihw-department-of-health,Dataset|dataset:private-hospital-data-bureau,csv
