relationship_element_id,start_node_element_id,end_node_element_id,score
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870454,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1270,4:699adb08-f1e5-4be8-b17b-792b62a6747d:633,1.0
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870455,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1271,4:699adb08-f1e5-4be8-b17b-792b62a6747d:631,1.01
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870456,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1272,4:699adb08-f1e5-4be8-b17b-792b62a6747d:641,1.01
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870457,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1273,4:699adb08-f1e5-4be8-b17b-792b62a6747d:633,1.02
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870458,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1274,4:699adb08-f1e5-4be8-b17b-792b62a6747d:631,1.01
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870459,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1275,4:699adb08-f1e5-4be8-b17b-792b62a6747d:636,1.02
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870460,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1276,4:699adb08-f1e5-4be8-b17b-792b62a6747d:633,1.0
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870461,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1277,4:699adb08-f1e5-4be8-b17b-792b62a6747d:636,1.0
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870463,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1279,4:699adb08-f1e5-4be8-b17b-792b62a6747d:644,1.02
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870464,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1280,4:699adb08-f1e5-4be8-b17b-792b62a6747d:633,1.02
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870465,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1281,4:699adb08-f1e5-4be8-b17b-792b62a6747d:641,1.0
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870466,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1282,4:699adb08-f1e5-4be8-b17b-792b62a6747d:644,1.01
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870467,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1283,4:699adb08-f1e5-4be8-b17b-792b62a6747d:634,1.02
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870468,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1284,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1027,1.0
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870469,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1285,4:699adb08-f1e5-4be8-b17b-792b62a6747d:636,1.02
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870470,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1286,4:699adb08-f1e5-4be8-b17b-792b62a6747d:633,1.01
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870471,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1287,4:699adb08-f1e5-4be8-b17b-792b62a6747d:644,1.01
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870472,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1288,4:699adb08-f1e5-4be8-b17b-792b62a6747d:633,1.01
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870473,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1289,4:699adb08-f1e5-4be8-b17b-792b62a6747d:631,1.01
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870474,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1290,4:699adb08-f1e5-4be8-b17b-792b62a6747d:644,1.01
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870475,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1291,4:699adb08-f1e5-4be8-b17b-792b62a6747d:639,1.01
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870476,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1292,4:699adb08-f1e5-4be8-b17b-792b62a6747d:631,1.01
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870477,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1293,4:699adb08-f1e5-4be8-b17b-792b62a6747d:633,1.01
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870478,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1294,4:699adb08-f1e5-4be8-b17b-792b62a6747d:644,1.01
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870479,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1295,4:699adb08-f1e5-4be8-b17b-792b62a6747d:633,1.02
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870480,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1296,4:699adb08-f1e5-4be8-b17b-792b62a6747d:631,1.01
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870481,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1297,4:699adb08-f1e5-4be8-b17b-792b62a6747d:641,1.01
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870482,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1298,4:699adb08-f1e5-4be8-b17b-792b62a6747d:631,1.01
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870484,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1300,4:699adb08-f1e5-4be8-b17b-792b62a6747d:629,1.01
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870485,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1301,4:699adb08-f1e5-4be8-b17b-792b62a6747d:633,1.01
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870486,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1302,4:699adb08-f1e5-4be8-b17b-792b62a6747d:649,1.0
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870487,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1303,4:699adb08-f1e5-4be8-b17b-792b62a6747d:655,1.0
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870488,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1304,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1026,1.02
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870489,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1305,4:699adb08-f1e5-4be8-b17b-792b62a6747d:0,0.96
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870490,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1306,4:699adb08-f1e5-4be8-b17b-792b62a6747d:654,1.02
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870491,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1307,4:699adb08-f1e5-4be8-b17b-792b62a6747d:631,1.01
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870492,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1308,4:699adb08-f1e5-4be8-b17b-792b62a6747d:633,1.01
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870493,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1309,4:699adb08-f1e5-4be8-b17b-792b62a6747d:644,1.01
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870494,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1310,4:699adb08-f1e5-4be8-b17b-792b62a6747d:631,1.01
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870495,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1311,4:699adb08-f1e5-4be8-b17b-792b62a6747d:641,1.01
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870496,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1312,4:699adb08-f1e5-4be8-b17b-792b62a6747d:644,1.01
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870497,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1313,4:699adb08-f1e5-4be8-b17b-792b62a6747d:633,1.0
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870498,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1314,4:699adb08-f1e5-4be8-b17b-792b62a6747d:631,1.01
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870499,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1315,4:699adb08-f1e5-4be8-b17b-792b62a6747d:633,1.01
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870500,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1316,4:699adb08-f1e5-4be8-b17b-792b62a6747d:631,1.01
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870503,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1319,4:699adb08-f1e5-4be8-b17b-792b62a6747d:633,1.02
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870504,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1320,4:699adb08-f1e5-4be8-b17b-792b62a6747d:631,1.01
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870506,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1322,4:699adb08-f1e5-4be8-b17b-792b62a6747d:633,1.0
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870507,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1323,4:699adb08-f1e5-4be8-b17b-792b62a6747d:631,1.01
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870508,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1324,4:699adb08-f1e5-4be8-b17b-792b62a6747d:636,1.0
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870509,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1325,4:699adb08-f1e5-4be8-b17b-792b62a6747d:644,1.01
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870510,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1326,4:699adb08-f1e5-4be8-b17b-792b62a6747d:636,1.02
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870511,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1327,4:699adb08-f1e5-4be8-b17b-792b62a6747d:631,1.01
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870512,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1328,4:699adb08-f1e5-4be8-b17b-792b62a6747d:649,1.0
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870513,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1329,4:699adb08-f1e5-4be8-b17b-792b62a6747d:654,1.02
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870514,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1330,4:699adb08-f1e5-4be8-b17b-792b62a6747d:639,1.02
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870517,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1333,4:699adb08-f1e5-4be8-b17b-792b62a6747d:644,1.02
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870518,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1334,4:699adb08-f1e5-4be8-b17b-792b62a6747d:631,1.01
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870519,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1335,4:699adb08-f1e5-4be8-b17b-792b62a6747d:636,1.02
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870520,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1336,4:699adb08-f1e5-4be8-b17b-792b62a6747d:633,1.02
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870521,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1337,4:699adb08-f1e5-4be8-b17b-792b62a6747d:649,1.0
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870522,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1338,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1025,1.0
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870523,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1339,4:699adb08-f1e5-4be8-b17b-792b62a6747d:648,1.02
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870525,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1341,4:699adb08-f1e5-4be8-b17b-792b62a6747d:639,1.0
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870526,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1342,4:699adb08-f1e5-4be8-b17b-792b62a6747d:633,1.01
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870528,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1344,4:699adb08-f1e5-4be8-b17b-792b62a6747d:633,1.01
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870529,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1345,4:699adb08-f1e5-4be8-b17b-792b62a6747d:631,1.01
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870530,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1346,4:699adb08-f1e5-4be8-b17b-792b62a6747d:652,1.02
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870531,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1347,4:699adb08-f1e5-4be8-b17b-792b62a6747d:633,1.02
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870532,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1348,4:699adb08-f1e5-4be8-b17b-792b62a6747d:651,1.01
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870533,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1349,4:699adb08-f1e5-4be8-b17b-792b62a6747d:640,1.01
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870534,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1350,4:699adb08-f1e5-4be8-b17b-792b62a6747d:640,0.96
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870536,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1352,4:699adb08-f1e5-4be8-b17b-792b62a6747d:633,1.02
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870537,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1353,4:699adb08-f1e5-4be8-b17b-792b62a6747d:653,1.01
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870538,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1354,4:699adb08-f1e5-4be8-b17b-792b62a6747d:639,1.0
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870539,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1355,4:699adb08-f1e5-4be8-b17b-792b62a6747d:648,1.02
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870540,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1356,4:699adb08-f1e5-4be8-b17b-792b62a6747d:633,1.0
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870541,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1357,4:699adb08-f1e5-4be8-b17b-792b62a6747d:639,1.0
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870542,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1358,4:699adb08-f1e5-4be8-b17b-792b62a6747d:641,1.01
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870543,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1359,4:699adb08-f1e5-4be8-b17b-792b62a6747d:639,1.01
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870544,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1360,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1027,1.01
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870545,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1361,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1025,1.0
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870546,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1362,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1026,1.0
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870547,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1363,4:699adb08-f1e5-4be8-b17b-792b62a6747d:633,1.01
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870548,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1364,4:699adb08-f1e5-4be8-b17b-792b62a6747d:641,1.01
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870549,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1365,4:699adb08-f1e5-4be8-b17b-792b62a6747d:629,1.01
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870550,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1366,4:699adb08-f1e5-4be8-b17b-792b62a6747d:649,1.0
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870551,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1367,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1,1.02
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870552,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1368,4:699adb08-f1e5-4be8-b17b-792b62a6747d:639,1.01
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870553,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1369,4:699adb08-f1e5-4be8-b17b-792b62a6747d:648,1.02
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870554,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1370,4:699adb08-f1e5-4be8-b17b-792b62a6747d:636,1.02
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870555,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1371,4:699adb08-f1e5-4be8-b17b-792b62a6747d:639,1.02
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870556,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1372,4:699adb08-f1e5-4be8-b17b-792b62a6747d:639,1.01
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870557,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1373,4:699adb08-f1e5-4be8-b17b-792b62a6747d:633,1.0
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870558,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1374,4:699adb08-f1e5-4be8-b17b-792b62a6747d:648,1.0
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870559,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1375,4:699adb08-f1e5-4be8-b17b-792b62a6747d:631,1.01
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870560,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1376,4:699adb08-f1e5-4be8-b17b-792b62a6747d:649,1.0
